股票代码,股票简称,最新价,最新涨跌幅,个股热度[20250603],个股热度排名[20250603],market_code,code,rank,short_name,price,change,change_pct,触及跌停,最近触及日期
603123,翠微股份,11.25,9.971,391302.5,1,17,603123,3,翠微股份,11.25,1.121625,9.97,False,
002104,恒宝股份,8.91,10.000,349460.0,2,33,002104,1,恒宝股份,8.91,0.8909999999999999,10.0,False,
002177,御银股份,6.34,10.069,317081.0,3,33,002177,2,御银股份,6.34,0.6384380000000001,10.07,False,
002537,海联金汇,8.33,10.040,278221.0,4,33,002537,4,海联金汇,8.33,0.8363319999999999,10.04,False,
300468,四方精创,24.79,7.270,208742.0,5,33,300468,5,四方精创,24.79,1.802233,7.27,False,
002094,青岛金王,9.60,-1.941,193368.5,6,33,002094,21,青岛金王,9.6,-0.18624,-1.94,False,
002465,海格通信,13.64,7.997,185124.0,7,33,002465,6,海格通信,13.64,1.0912,8.0,False,
002639,雪人股份,11.67,3.001,163535.0,8,33,002639,22,雪人股份,11.67,0.35009999999999997,3.0,False,
603686,福龙马,17.80,10.012,163013.0,9,17,603686,14,福龙马,17.8,1.78178,10.01,False,
300546,雄帝科技,25.00,13.225,159446.0,10,33,300546,12,雄帝科技,25.0,3.305,13.22,False,
600468,百利电气,7.01,10.047,150433.5,11,17,600468,8,百利电气,7.01,0.704505,10.05,False,
002735,王子新材,19.67,-9.977,140159.0,12,33,002735,46,王子新材,19.67,-1.9630660000000004,-9.98,False,
002471,中超控股,5.45,-10.066,139545.5,13,33,002471,30,中超控股,5.45,-0.548815,-10.07,False,
002366,融发核电,7.42,-9.952,133042.0,14,33,002366,34,融发核电,7.42,-0.7382899999999999,-9.95,False,
000903,云内动力,5.42,-2.518,131136.0,15,33,000903,37,云内动力,5.42,-0.136584,-2.52,False,
002907,华森制药,20.63,10.027,129637.5,16,33,002907,15,华森制药,20.63,2.0691889999999997,10.03,False,
002878,元隆雅图,19.15,9.994,128454.5,17,33,002878,13,元隆雅图,19.15,1.9130849999999997,9.99,False,
300773,拉卡拉,24.56,3.411,122140.0,18,33,300773,11,拉卡拉,24.56,0.837496,3.41,False,
002250,联化科技,9.20,10.048,121745.5,19,33,002250,9,联化科技,9.2,0.9246,10.05,False,
603056,德邦股份,20.80,9.995,119712.5,20,17,603056,17,德邦股份,20.8,2.07792,9.99,False,
603011,合锻智能,20.40,4.135,107561.5,21,17,603011,38,合锻智能,20.4,0.8425199999999999,4.13,False,
603390,通达电气,18.00,2.506,106267.5,22,17,603390,52,通达电气,18.0,0.4517999999999999,2.51,False,
300204,舒泰神,26.50,15.017,97743.5,23,33,300204,49,舒泰神,26.5,3.9802999999999997,15.02,False,
000566,海南海药,6.12,10.072,93242.5,24,33,000566,10,海南海药,6.12,0.616284,10.07,False,
002431,棕榈股份,2.97,10.000,92295.5,25,33,002431,29,棕榈股份,2.97,0.29700000000000004,10.0,False,
002900,哈三联,15.03,10.029,89665.5,26,33,002900,19,哈三联,15.03,1.5075089999999998,10.03,False,
300872,天阳科技,19.50,4.726,87939.5,27,33,300872,16,天阳科技,19.5,0.9223500000000001,4.73,False,
002657,中科金财,22.02,4.807,85393.5,28,33,002657,42,中科金财,22.02,1.059162,4.81,False,
002173,创新医疗,11.62,10.038,81985.5,29,33,002173,18,创新医疗,11.62,1.166648,10.04,False,
002875,安奈儿,16.90,10.026,81177.5,30,33,002875,7,安奈儿,16.9,1.6950699999999999,10.03,False,
002743,富煌钢构,8.25,10.000,80147.0,31,33,002743,31,富煌钢构,8.25,0.825,10.0,False,
003009,中天火箭,41.04,9.997,79826.5,32,33,003009,20,中天火箭,41.04,4.104,10.0,False,
002987,京北方,14.36,4.741,75902.0,33,33,002987,44,京北方,14.36,0.680664,4.74,False,
603879,永悦科技,5.40,9.980,75709.0,34,17,603879,27,永悦科技,5.4,0.5389200000000001,9.98,False,
002229,鸿博股份,17.61,-8.138,74544.0,35,33,002229,64,鸿博股份,17.61,-1.4334540000000002,-8.14,False,
600212,绿能慧充,8.66,10.038,73149.5,36,17,600212,23,绿能慧充,8.66,0.869464,10.04,False,
600551,时代出版,9.77,10.023,71521.0,37,17,600551,25,时代出版,9.77,0.978954,10.02,False,
002162,悦心健康,4.52,9.976,70638.0,38,33,002162,28,悦心健康,4.52,0.451096,9.98,False,
300149,睿智医药,10.27,19.977,70029.5,39,33,300149,26,睿智医药,10.27,2.051946,19.98,False,
002190,成飞集成,33.16,0.181,68272.0,40,33,002190,69,成飞集成,33.16,0.05968799999999999,0.18,False,
301024,霍普股份,45.56,19.990,67841.5,41,33,301024,33,霍普股份,45.56,9.107444,19.99,False,
603333,尚纬股份,8.96,-10.040,67173.5,42,17,603333,62,尚纬股份,8.96,-0.8995839999999999,-10.04,False,
003035,南网能源,4.96,9.978,67108.5,43,33,003035,40,南网能源,4.96,0.49500800000000006,9.98,False,
002310,东方园林,2.37,10.233,66272.5,44,33,002310,41,东方园林,2.37,0.242451,10.23,False,
002195,岩山科技,5.65,-0.353,65305.0,45,33,002195,79,岩山科技,5.65,-0.019775,-0.35,False,
603906,龙蟠科技,11.51,-0.776,63082.5,46,17,603906,47,龙蟠科技,11.51,-0.089778,-0.78,False,
002389,航天彩虹,21.70,2.844,61537.0,47,33,002389,39,航天彩虹,21.7,0.6162799999999999,2.84,False,
002365,永安药业,19.95,-10.014,61293.0,48,33,002365,76,永安药业,19.95,-1.996995,-10.01,False,
002734,利民股份,18.08,9.775,59105.0,49,33,002734,65,利民股份,18.08,1.7682239999999996,9.78,False,
601086,国芳集团,14.19,-10.019,57181.0,50,17,601086,95,国芳集团,14.19,-1.421838,-10.02,False,
002082,万邦德,6.26,10.018,55064.5,51,33,002082,36,万邦德,6.26,0.6272519999999999,10.02,False,
000826,启迪环境,2.44,7.018,54449.0,53,33,000826,81,启迪环境,2.44,0.171288,7.02,False,
002594,比亚迪,352.30,-2.445,53823.5,55,33,002594,68,比亚迪,352.3,-8.631350000000001,-2.45,False,
603017,中衡设计,9.81,9.978,53186.0,56,17,603017,43,中衡设计,9.81,0.9790380000000001,9.98,False,
001212,中旗新材,57.53,10.000,52934.5,57,33,001212,56,中旗新材,57.53,5.752999999999999,10.0,False,
002345,潮宏基,14.37,6.052,52568.5,58,33,002345,78,潮宏基,14.37,0.8693849999999999,6.05,False,
605136,丽人丽妆,14.13,-10.000,52497.5,59,17,605136,100,丽人丽妆,14.13,-1.413,-10.0,False,
600476,湘邮科技,19.81,-2.940,51457.0,60,17,600476,85,湘邮科技,19.81,-0.582414,-2.94,False,
600676,交运股份,5.30,9.959,51402.0,61,17,600676,35,交运股份,5.3,0.52788,9.96,False,
000555,神州信息,12.09,0.249,51125.0,62,33,000555,55,神州信息,12.09,0.030225,0.25,False,
002313,日海智能,9.92,3.874,50895.5,63,33,002313,84,日海智能,9.92,0.383904,3.87,False,
603194,中力股份,41.24,10.003,50224.0,65,17,603194,32,中力股份,41.24,4.1240000000000006,10.0,False,
002550,千红制药,7.76,8.078,49505.5,66,33,002550,58,千红制药,7.76,0.627008,8.08,False,
301322,绿通科技,30.39,7.120,48126.5,67,33,301322,24,绿通科技,30.39,2.163768,7.12,False,
300065,海兰信,18.34,6.196,47624.5,68,33,300065,61,海兰信,18.34,1.13708,6.2,False,
600495,晋西车轴,5.31,3.914,47606.5,69,17,600495,94,晋西车轴,5.31,0.207621,3.91,False,
600794,保税科技,4.43,2.546,47376.0,70,17,600794,92,保税科技,4.43,0.11296499999999998,2.55,False,
600192,长城电工,9.30,7.390,47260.0,71,17,600192,73,长城电工,9.3,0.68727,7.39,False,
002278,神开股份,9.44,3.282,46234.0,73,33,002278,88,神开股份,9.44,0.30963199999999996,3.28,False,
603359,东珠生态,7.85,9.944,46114.5,74,17,603359,57,东珠生态,7.85,0.7802899999999999,9.94,False,
002982,湘佳股份,16.38,10.007,45963.0,75,33,002982,48,湘佳股份,16.38,1.639638,10.01,False,
002097,山河智能,7.76,4.161,44643.5,76,33,002097,66,山河智能,7.76,0.322816,4.16,False,
837748,路桥信息,49.89,29.990,44599.5,78,151,837748,72,路桥信息,49.89,14.962011,29.99,False,
688070,纵横股份,47.11,19.995,44351.0,80,17,688070,60,纵横股份,47.11,9.417289,19.99,False,
603477,巨星农牧,21.85,10.020,44337.5,81,17,603477,45,巨星农牧,21.85,2.1893700000000003,10.02,False,
603607,京华激光,30.22,-10.006,43222.0,83,17,603607,99,京华激光,30.22,-3.0250219999999994,-10.01,False,
600543,莫高股份,6.00,10.092,42914.0,84,17,600543,50,莫高股份,6.0,0.6053999999999999,10.09,False,
003040,楚天龙,14.14,1.800,39247.5,93,33,003040,96,楚天龙,14.14,0.25452,1.8,False,
603127,昭衍新药,19.10,5.118,39213.5,94,17,603127,70,昭衍新药,19.1,0.9779200000000001,5.12,False,
300180,华峰超纤,7.70,-2.532,38573.5,95,33,300180,71,华峰超纤,7.7,-0.19480999999999998,-2.53,False,
600446,金证股份,15.98,-1.175,37369.5,98,17,600446,80,金证股份,15.98,-0.188564,-1.18,False,
300348,长亮科技,13.90,2.432,36957.0,99,33,300348,83,长亮科技,13.9,0.33777,2.43,False,
600391,航发科技,26.50,5.578,36001.5,100,17,600391,75,航发科技,26.5,1.4787000000000001,5.58,False,
