股票代码,股票简称,最新价,最新涨跌幅,个股热度[20250610],个股热度排名[20250610],market_code,code,rank,short_name,price,change,change_pct
603019,中科曙光,61.9,0,1069472.5,1,17,603019,7,中科曙光,,,
600468,百利电气,8.75,10.062893082,570322.0,2,17,600468,1,百利电气,8.75,0.8802500000000001,10.06
002471,中超控股,6.24,10.052910053,549924.0,3,33,002471,2,中超控股,6.24,0.62712,10.05
002250,联化科技,14.08,10,524267.5,4,33,002250,6,联化科技,14.08,1.4080000000000001,10.0
688041,海光信息,136.13,0,517742.5,5,17,688041,19,海光信息,136.13,0.0,0.0
002104,恒宝股份,12.12,9.98185118,454510.5,6,33,002104,5,恒宝股份,12.12,1.209576,9.98
603226,菲林格尔,12.02,9.972552608,436971.0,7,17,603226,38,菲林格尔,12.02,1.198394,9.97
300255,常山药业,52.09,19.995392767,355546.5,8,33,300255,3,常山药业,52.09,10.418000000000001,20.0
002640,跨境通,5.03,10.065645514,326988.5,9,33,002640,4,跨境通,5.03,0.506521,10.07
002639,雪人股份,13.09,1.472868217,319548.0,10,33,002639,29,雪人股份,13.09,0.192423,1.47
300204,舒泰神,34.94,19.986263736,286149.5,11,33,300204,9,舒泰神,34.94,6.984505999999999,19.99
002298,中电鑫龙,7.68,-3.396226415,282605.5,12,33,002298,50,中电鑫龙,7.68,-0.26111999999999996,-3.4
002177,御银股份,8.22,4.713375796,277085.5,13,33,002177,10,御银股份,8.22,0.387162,4.71
003040,楚天龙,17.14,10.01283697,273533.0,14,33,003040,8,楚天龙,17.14,1.7157140000000002,10.01
605099,共创草坪,40.18,9.991787572,266202.5,15,17,605099,24,共创草坪,40.18,4.013982,9.99
002882,金龙羽,28.63,9.988474837,256293.0,16,33,002882,13,金龙羽,28.63,2.860137,9.99
605388,均瑶健康,12.05,10.0456621,247513.0,17,17,605388,15,均瑶健康,12.05,1.2110250000000002,10.05
300651,金陵体育,36.9,15.3125,245075.5,18,33,300651,28,金陵体育,36.9,5.6493899999999995,15.31
002951,金时科技,13.57,9.967585089,239544.0,19,33,002951,56,金时科技,13.57,1.352929,9.97
002467,二六三,6.74,0.898203593,235154.0,20,33,002467,18,二六三,6.74,0.060660000000000006,0.9
000795,英洛华,11.12,9.990108803,228643.0,21,33,000795,11,英洛华,11.12,1.1108879999999999,9.99
603011,合锻智能,18.7,10,219926.0,22,17,603011,16,合锻智能,18.7,1.87,10.0
002317,众生药业,15.31,9.985632184,218791.0,23,33,002317,12,众生药业,15.31,1.529469,9.99
002940,昂利康,21.58,9.98980632,215958.0,24,33,002940,21,昂利康,21.58,2.155842,9.99
603093,南华期货,20.56,10.005350455,214777.5,25,17,603093,30,南华期货,20.56,2.0580559999999997,10.01
603042,华脉科技,19.5,4.445634708,212973.0,26,17,603042,57,华脉科技,19.5,0.86775,4.45
002366,融发核电,7.25,6.149341142,209463.0,27,33,002366,46,融发核电,7.25,0.4458750000000001,6.15
300584,海辰药业,41.06,19.988310929,206778.5,28,33,300584,31,海辰药业,41.06,8.207894,19.99
300340,科恒股份,15.72,20,192204.5,29,33,300340,42,科恒股份,15.72,3.144,20.0
002181,粤传媒,6.67,10.066006601,189228.0,30,33,002181,17,粤 传 媒,6.67,0.671669,10.07
002391,长青股份,6.81,10.016155089,184552.5,31,33,002391,37,长青股份,6.81,0.6823619999999999,10.02
002878,元隆雅图,19.2,10.028653295,177566.5,32,33,002878,40,元隆雅图,19.2,1.92576,10.03
000889,中嘉博创,3.96,10,176171.5,33,33,000889,54,中嘉博创,3.96,0.396,10.0
002651,利君股份,12.16,10.045248869,175318.5,34,33,002651,33,利君股份,12.16,1.22208,10.05
002365,永安药业,21.96,9.90990991,174314.0,35,33,002365,63,永安药业,21.96,2.1762360000000003,9.91
600610,中毅达,15.33,-4.1875,173325.5,36,17,600610,97,中毅达,15.33,-0.6423270000000001,-4.19
603032,德新科技,16.04,10.013717421,171198.5,37,17,603032,39,德新科技,16.04,1.6056039999999998,10.01
300149,睿智医药,11.65,19.979402678,170926.0,38,33,300149,20,睿智医药,11.65,2.3276700000000003,19.98
002735,王子新材,17.38,4.25914817,168636.5,39,33,002735,80,王子新材,17.38,0.7403879999999999,4.26
600881,亚泰集团,1.93,10.285714286,167240.0,40,17,600881,27,亚泰集团,1.93,0.19859699999999997,10.29
600232,金鹰股份,7,10.062893082,165637.5,41,17,600232,48,金鹰股份,7.0,0.7042,10.06
301137,哈焊华通,38.9,19.987661937,160913.0,42,33,301137,44,哈焊华通,38.9,7.776109999999999,19.99
601059,信达证券,16.04,10.013717421,157376.0,43,17,601059,23,信达证券,16.04,1.6056039999999998,10.01
600418,江淮汽车,38.54,9.988584475,155199.5,44,17,600418,25,江淮汽车,38.54,3.8501459999999996,9.99
603123,翠微股份,12.8,-2.065799541,154765.5,45,17,603123,89,翠微股份,12.8,-0.26496,-2.07
002826,易明医药,17.83,9.993830969,152896.5,46,33,002826,72,易明医药,17.83,1.7812169999999998,9.99
600250,南京商旅,11.17,10.049261084,149102.0,47,17,600250,41,南京商旅,11.17,1.1225850000000002,10.05
002082,万邦德,8.87,6.86746988,147433.0,48,33,002082,78,万邦德,8.87,0.6093689999999999,6.87
300368,汇金股份,11.75,6.046931408,142970.0,49,33,300368,98,汇金股份,11.75,0.7108749999999999,6.05
002793,罗欣药业,5.26,10.041841004,140819.0,50,33,002793,22,罗欣药业,5.26,0.5281039999999999,10.04
000831,中国稀土,36.85,4.955853033,139326.5,51,33,000831,73,中国稀土,36.85,1.82776,4.96
002017,东信和平,12,9.990834097,137598.0,52,33,002017,47,东信和平,12.0,1.1987999999999999,9.99
002594,比亚迪,348.14,-3.283698189,136732.0,53,33,002594,87,比亚迪,348.14,-11.418991999999998,-3.28
002510,天汽模,7.05,5.855855856,135546.5,54,33,002510,90,天汽模,7.05,0.41313,5.86
600353,旭光电子,10.84,10.050761421,134389.5,55,17,600353,45,旭光电子,10.84,1.08942,10.05
300798,锦鸡股份,8.81,20.027247956,133441.5,56,33,300798,60,锦鸡股份,8.81,1.7646430000000002,20.03
837748,路桥信息,77.98,29.988331389,132831.0,57,151,837748,93,路桥信息,77.98,23.386201999999997,29.99
000506,中润资源,9.45,5.941704036,132452.5,58,33,000506,94,中润资源,9.45,0.56133,5.94
300963,中洲特材,24.88,12.783318223,129727.5,60,33,300963,85,中洲特材,24.88,3.179664,12.78
002105,信隆健康,9.36,9.988249119,129026.0,61,33,002105,49,信隆健康,9.36,0.935064,9.99
600760,中航沈飞,54.65,9.3,128273.5,62,17,600760,34,中航沈飞,54.65,5.08245,9.3
600980,北矿科技,18.8,10.005851375,126749.5,63,17,600980,26,北矿科技,18.8,1.8818800000000002,10.01
600589,大位科技,7.99,2.435897436,125900.0,64,17,600589,100,大位科技,7.99,0.194956,2.44
002437,誉衡药业,3.04,10.144927536,124845.5,65,33,002437,51,誉衡药业,3.04,0.30825600000000003,10.14
002038,双鹭药业,7.74,9.943181818,122857.5,66,33,002038,14,双鹭药业,7.74,0.7693559999999999,9.94
301287,康力源,48.6,20,122684.0,67,33,301287,53,康力源,48.6,9.72,20.0
002172,澳洋健康,4.15,10.079575597,122331.5,68,33,002172,36,澳洋健康,4.15,0.41832,10.08
603538,美诺华,16.76,9.973753281,120913.0,69,17,603538,35,美诺华,16.76,1.6709720000000001,9.97
601956,东贝集团,7.38,9.98509687,119154.5,70,17,601956,62,东贝集团,7.38,0.7372620000000001,9.99
300468,四方精创,27.8,0.907441016,117829.5,71,33,300468,92,四方精创,27.8,0.25298000000000004,0.91
300530,领湃科技,50.97,10.90078329,116496.0,73,33,300530,86,领湃科技,50.97,5.55573,10.9
603829,洛凯股份,19.37,9.994321408,115498.5,74,17,603829,66,洛凯股份,19.37,1.9350630000000002,9.99
002427,尤夫股份,10.39,4.004004004,115173.5,75,33,002427,99,尤夫股份,10.39,0.4156,4.0
300804,广康生化,56.7,20,113214.5,77,33,300804,76,广康生化,56.7,11.34,20.0
002629,仁智股份,6.3,9.947643979,110731.5,78,33,002629,70,仁智股份,6.3,0.6268499999999999,9.95
002846,英联股份,13.15,10.041841004,110100.5,79,33,002846,59,英联股份,13.15,1.3202599999999998,10.04
603598,引力传媒,18.21,10.03021148,107709.5,80,17,603598,43,引力传媒,18.21,1.826463,10.03
603332,苏州龙杰,16.36,10.020174849,107296.0,81,17,603332,58,苏州龙杰,16.36,1.639272,10.02
600530,交大昂立,8.64,10.063694268,106866.5,83,17,600530,71,XD交大昂,8.64,0.8691840000000001,10.06
600520,三佳科技,30.31,10.01814882,106619.5,84,17,600520,67,三佳科技,30.31,3.0370619999999997,10.02
600735,新华锦,10.17,9.827213823,104543.5,86,17,600735,91,新华锦,10.17,0.999711,9.83
300059,东方财富,21.46,2.728578267,100410.5,89,33,300059,32,东方财富,21.46,0.585858,2.73
002440,闰土股份,8.02,10.013717421,100005.0,90,33,002440,52,闰土股份,8.02,0.8028019999999999,10.01
600519,贵州茅台,1486.11,-1.346264911,96725.5,93,17,600519,84,贵州茅台,1486.11,-20.062485,-1.35
300061,旗天科技,14,16.861435726,93817.0,99,33,300061,74,旗天科技,14.0,2.3604,16.86
300493,润欣科技,23.32,15.674603175,91702.5,100,33,300493,79,润欣科技,23.32,3.654244,15.67
